Regions;Year;Technology;Electricity Installed Capacity (MW);log_expol;area_potential;tech_potential
ALG;2041;Solar photovoltaic;;5173.492405390927;2197760.9679960962;2395559.455115745
ALG;2042;Onshore wind energy;;54535.82953617989;2301677.8450427647;2520337.240321827
ALG;2042;Solar photovoltaic;;5904.921884360424;2197760.9679960962;2406548.259955725
ALG;2043;Onshore wind energy;;71835.7469226383;2301677.8450427647;2531845.629547041
ALG;2043;Solar photovoltaic;;6739.4981496885475;2197760.9679960962;2417537.064795706
ALG;2044;Onshore wind energy;;94433.55395547635;2301677.8450427647;2543354.018772255
ALG;2044;Solar photovoltaic;;7691.687528757588;2197760.9679960962;2428525.8696356863
ALG;2045;Onshore wind energy;;123815.3224674963;2301677.8450427647;2554862.407997469
ALG;2045;Solar photovoltaic;;8777.961214957062;2197760.9679960962;2439514.6744756666
ALG;2046;Onshore wind energy;;161788.51860275152;2301677.8450427647;2566370.7972226827
ALG;2046;Solar photovoltaic;;10017.065852849802;2197760.9679960962;2450503.4793156474
ALG;2047;Onshore wind energy;;210485.61045604554;2301677.8450427647;2577879.1864478965
ALG;2047;Solar photovoltaic;;11430.328438476155;2197760.9679960962;2461492.2841556277
ALG;2048;Onshore wind energy;;272316.80308613693;2301677.8450427647;2589387.5756731103
ALG;2048;Solar photovoltaic;;13041.99920910378;2197760.9679960962;2472481.0889956085
ALG;2049;Onshore wind energy;;349840.1968184767;2301677.8450427647;2600895.964898324
ALG;2049;Solar photovoltaic;;14879.636372980583;2197760.9679960962;2483469.893835589
ALG;2050;Onshore wind energy;;445515.2652786222;2301677.8450427647;2612404.354123538
ALG;2050;Solar photovoltaic;;16974.536634038614;2197760.9679960962;2494458.698675569
ALG;2051;Onshore wind energy;;561317.0197726984;2301677.8450427647;2623912.7433487517
ALG;2051;Solar photovoltaic;;19362.215463047756;2197760.9679960962;2505447.50351555
ALG;2052;Onshore wind energy;;698223.8380577312;2301677.8450427647;2635421.1325739655
ALG;2052;Solar photovoltaic;;22082.940908295273;2197760.9679960962;2516436.3083555303
ALG;2053;Onshore wind energy;;855656.2057220183;2301677.8450427647;2646929.5217991793
ALG;2053;Solar photovoltaic;;25182.324364214255;2197760.9679960962;2527425.1131955106
ALG;2054;Onshore wind energy;;1031022.1247591745;2301677.8450427647;2658437.911024393
ALG;2054;Solar photovoltaic;;28711.971047395495;2197760.9679960962;2538413.9180354914
ALG;2055;Onshore wind energy;;1219574.538125996;2301677.8450427647;2669946.300249607
ALG;2055;Solar photovoltaic;;32730.19186734534;2197760.9679960962;2549402.7228754717
ALG;2056;Onshore wind energy;;1414748.1508877035;2301677.8450427647;2681454.689474821
ALG;2056;Solar photovoltaic;;37302.77680149468;2197760.9679960962;2560391.527715452
ALG;2057;Onshore wind energy;;1608990.5846232811;2301677.8450427647;2692963.078700035
ALG;2057;Solar photovoltaic;;42503.82764012867;2197760.9679960962;2571380.332555433
ALG;2058;Onshore wind energy;;1794891.2632513763;2301677.8450427647;2704471.4679252487
ALG;2058;Solar photovoltaic;;48416.64487678384;2197760.9679960962;2582369.137395413
ALG;2059;Onshore wind energy;;1966266.3445390502;2301677.8450427647;2715979.8571504625
ALG;2059;Solar photovoltaic;;55134.65937155469;2197760.9679960962;2593357.9422353934
ALG;2060;Onshore wind energy;;2118880.133555125;2301677.8450427647;2727488.2463756762
ALG;2060;Solar photovoltaic;;62762.393967712866;2197760.9679960962;2604346.7470753742
