Object_class;Object_names;Parameter_name;Alternative;Paramter_value
unit;Solar|PVInvest4|AUS;candidate_units;Base;28473.360119063607
unit;Wind|WINDInvest0|AUS;candidate_units;Base;6381.0364740809555
unit;Wind|WINDInvest1|AUS;candidate_units;Base;7263.595880344061
unit;Wind|WINDInvest2|AUS;candidate_units;Base;7756.448205143791
unit;Wind|WINDInvest3|AUS;candidate_units;Base;8102.446121397586
unit;Wind|WINDInvest4|AUS;candidate_units;Base;8450.801268274574
unit;Wind|WIND_OFFSHOREInvest0|AUS;candidate_units;Base;4004.583555192677
unit;Wind|WIND_OFFSHOREInvest1|AUS;candidate_units;Base;4106.153533967436
unit;Wind|WIND_OFFSHOREInvest2|AUS;candidate_units;Base;4203.6156641598245
unit;Wind|WIND_OFFSHOREInvest3|AUS;candidate_units;Base;4255.409646449346
unit;Wind|WIND_OFFSHOREInvest4|AUS;candidate_units;Base;4296.917811559521
unit;Solar|PVInvest0|AUT;candidate_units;Base;72.42840047738886
unit;Solar|PVInvest1|AUT;candidate_units;Base;72.42840047738886
unit;Solar|PVInvest2|AUT;candidate_units;Base;72.73337327414353
unit;Solar|PVInvest3|AUT;candidate_units;Base;72.90699578189833
unit;Solar|PVInvest4|AUT;candidate_units;Base;73.3366740072679
unit;Wind|WINDInvest0|AUT;candidate_units;Base;30.81557562927565
unit;Wind|WINDInvest1|AUT;candidate_units;Base;30.815575629122755
unit;Wind|WINDInvest2|AUT;candidate_units;Base;30.81557562927548
unit;Wind|WINDInvest3|AUT;candidate_units;Base;30.815575629275425
unit;Wind|WINDInvest4|AUT;candidate_units;Base;30.815575628692713
unit;Solar|PVInvest0|AZE;candidate_units;Base;134.5350694452338
unit;Solar|PVInvest1|AZE;candidate_units;Base;136.67930296256193
unit;Solar|PVInvest2|AZE;candidate_units;Base;139.7071656132125
unit;Solar|PVInvest3|AZE;candidate_units;Base;143.4834066134483
unit;Solar|PVInvest4|AZE;candidate_units;Base;145.4246651262314
unit;Wind|WINDInvest0|AZE;candidate_units;Base;75.61259163742619
unit;Wind|WINDInvest1|AZE;candidate_units;Base;75.61259163779555
unit;Wind|WINDInvest2|AZE;candidate_units;Base;75.6125916374262
unit;Wind|WINDInvest3|AZE;candidate_units;Base;75.61259163742619
unit;Wind|WINDInvest4|AZE;candidate_units;Base;75.61259163705685
unit;Wind|WIND_OFFSHOREInvest0|AZE;candidate_units;Base;138.25319048528496
unit;Wind|WIND_OFFSHOREInvest1|AZE;candidate_units;Base;138.25319048532054
unit;Wind|WIND_OFFSHOREInvest2|AZE;candidate_units;Base;138.25319048455273
unit;Wind|WIND_OFFSHOREInvest3|AZE;candidate_units;Base;138.25319048797266
unit;Wind|WIND_OFFSHOREInvest4|AZE;candidate_units;Base;138.25319048388835
unit;Solar|PVInvest0|BDI;candidate_units;Base;30.77270482736013
unit;Solar|PVInvest1|BDI;candidate_units;Base;31.025850675072856
unit;Solar|PVInvest2|BDI;candidate_units;Base;31.025850675250506
unit;Solar|PVInvest3|BDI;candidate_units;Base;31.025850675075954
unit;Solar|PVInvest4|BDI;candidate_units;Base;31.551302729229356
unit;Solar|PVInvest0|BEL;candidate_units;Base;32.68762714451213
unit;Solar|PVInvest1|BEL;candidate_units;Base;33.46893367260357
unit;Solar|PVInvest2|BEL;candidate_units;Base;33.46893367289816
unit;Solar|PVInvest3|BEL;candidate_units;Base;33.47015910085239
unit;Solar|PVInvest4|BEL;candidate_units;Base;33.49075375127763
unit;Wind|WINDInvest0|BEL;candidate_units;Base;22.321745436959873
unit;Wind|WINDInvest1|BEL;candidate_units;Base;22.32174543680729
unit;Wind|WINDInvest2|BEL;candidate_units;Base;22.321745437282452
unit;Wind|WINDInvest3|BEL;candidate_units;Base;22.32174543688459
unit;Wind|WINDInvest4|BEL;candidate_units;Base;22.321745436871353
unit;Wind|WIND_OFFSHOREInvest0|BEL;candidate_units;Base;10.349075554717599
unit;Wind|WIND_OFFSHOREInvest1|BEL;candidate_units;Base;10.349075554717599
unit;Wind|WIND_OFFSHOREInvest2|BEL;candidate_units;Base;10.349075554769108
unit;Wind|WIND_OFFSHOREInvest3|BEL;candidate_units;Base;10.349075554563083
unit;Wind|WIND_OFFSHOREInvest4|BEL;candidate_units;Base;10.34907555482061
unit;Solar|PVInvest0|BEN;candidate_units;Base;311.3300853117875
unit;Solar|PVInvest1|BEN;candidate_units;Base;312.91121440227164
unit;Solar|PVInvest2|BEN;candidate_units;Base;314.19378143701863
unit;Solar|PVInvest3|BEN;candidate_units;Base;315.7273160228209
unit;Solar|PVInvest4|BEN;candidate_units;Base;323.3062562924952
unit;Solar|PVInvest0|BFA;candidate_units;Base;374.454000035732
unit;Solar|PVInvest1|BFA;candidate_units;Base;374.82325671280165
unit;Solar|PVInvest2|BFA;candidate_units;Base;375.3020202777232
unit;Solar|PVInvest3|BFA;candidate_units;Base;375.6224503901215
unit;Solar|PVInvest4|BFA;candidate_units;Base;376.5179953961797
unit;Wind|WINDInvest0|BFA;candidate_units;Base;275.26810578905406
unit;Wind|WINDInvest1|BFA;candidate_units;Base;275.2681057899812
unit;Wind|WINDInvest2|BFA;candidate_units;Base;275.2681057897283
unit;Wind|WINDInvest3|BFA;candidate_units;Base;275.26810579301497
unit;Wind|WINDInvest4|BFA;candidate_units;Base;275.268105783522
unit;Solar|PVInvest0|BGD;candidate_units;Base;111.28614643058944
unit;Solar|PVInvest1|BGD;candidate_units;Base;111.41204235080828
unit;Solar|PVInvest2|BGD;candidate_units;Base;111.50114535880344
unit;Solar|PVInvest3|BGD;candidate_units;Base;111.62614837505818
unit;Solar|PVInvest4|BGD;candidate_units;Base;113.74309721467233
unit;Wind|WINDInvest0|BGD;candidate_units;Base;47.67873690784419
unit;Wind|WINDInvest1|BGD;candidate_units;Base;47.67873690821549
unit;Wind|WINDInvest2|BGD;candidate_units;Base;47.67873690747485
unit;Wind|WINDInvest3|BGD;candidate_units;Base;47.67873690781043
unit;Wind|WINDInvest4|BGD;candidate_units;Base;47.678736907826554
unit;Solar|PVInvest0|BGR;candidate_units;Base;141.72872053049994
unit;Solar|PVInvest1|BGR;candidate_units;Base;144.3878250670997
unit;Solar|PVInvest2|BGR;candidate_units;Base;144.6105587886956
unit;Solar|PVInvest3|BGR;candidate_units;Base;145.46600858254845
unit;Solar|PVInvest4|BGR;candidate_units;Base;147.3064802231935
unit;Wind|WINDInvest0|BGR;candidate_units;Base;50.80334399735771
unit;Wind|WINDInvest1|BGR;candidate_units;Base;50.803343997332206
unit;Wind|WINDInvest2|BGR;candidate_units;Base;50.803343997035796
unit;Wind|WINDInvest3|BGR;candidate_units;Base;81.78504770152502
unit;Wind|WINDInvest4|BGR;candidate_units;Base;116.22020025058887
unit;Wind|WIND_OFFSHOREInvest0|BGR;candidate_units;Base;26.093407444677627
unit;Wind|WIND_OFFSHOREInvest1|BGR;candidate_units;Base;26.093407444581036
unit;Wind|WIND_OFFSHOREInvest2|BGR;candidate_units;Base;26.09340744474988
unit;Wind|WIND_OFFSHOREInvest3|BGR;candidate_units;Base;26.09340744476033
unit;Wind|WIND_OFFSHOREInvest4|BGR;candidate_units;Base;26.09340744475511
unit;Solar|PVInvest0|BHR;candidate_units;Base;1.8289108028731527
unit;Solar|PVInvest1|BHR;candidate_units;Base;1.8289108028731527
unit;Solar|PVInvest2|BHR;candidate_units;Base;1.8289108028731522
unit;Solar|PVInvest3|BHR;candidate_units;Base;1.8289108028731529
unit;Solar|PVInvest4|BHR;candidate_units;Base;1.8289108028595897
unit;Wind|WIND_OFFSHOREInvest0|BHR;candidate_units;Base;0.6371763466240901
unit;Wind|WIND_OFFSHOREInvest1|BHR;candidate_units;Base;0.6371763466240901
unit;Wind|WIND_OFFSHOREInvest2|BHR;candidate_units;Base;0.6371763466240901
unit;Wind|WIND_OFFSHOREInvest3|BHR;candidate_units;Base;0.6371763466240888
unit;Wind|WIND_OFFSHOREInvest4|BHR;candidate_units;Base;0.6371763466196412
unit;Solar|PVInvest0|BHS;candidate_units;Base;35.122775914724535
unit;Solar|PVInvest1|BHS;candidate_units;Base;35.12277591487423
unit;Solar|PVInvest2|BHS;candidate_units;Base;35.19832057845738
unit;Solar|PVInvest3|BHS;candidate_units;Base;35.67832947625513
unit;Solar|PVInvest4|BHS;candidate_units;Base;35.904742073101154
unit;Wind|WINDInvest0|BHS;candidate_units;Base;6.564128474863054
